epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.67603891546076,2.67603891546076,13.410869719765403,2.3648073312008018,2.3648073312008018,8.163590705755984,0.001,1.0786173890937458
2,2.445743015679446,2.445743015679446,13.029767886075106,2.2717040596586284,2.2717040596586284,8.126975890361901,0.001,1.4473992177031256
3,2.4027430924502284,2.4027430924502284,12.886862087249757,2.2663085280042705,2.2663085280042705,8.11556950482455,0.001,1.5461163206533952
4,2.3565083167769694,2.3565083167769694,12.774391052939675,2.280954931721543,2.280954931721543,8.140196070526585,0.001,1.3266439058563926
5,2.3338898983868686,2.3338898983868686,12.685407270084728,2.284432718248078,2.284432718248078,8.139070055701517,0.001,1.2133894562721252
6,2.3216077024286443,2.3216077024286443,12.692021075162021,2.291818116650437,2.291818116650437,8.159738396153305,0.001,1.3445052287795327
7,2.31421386978843,2.31421386978843,12.625604685870083,2.2821499542756514,2.2821499542756514,8.114564527164806,0.001,1.2765124188228087
8,2.3020303151824257,2.3020303151824257,12.635817597129128,2.2757562254414414,2.2757562254414414,8.086900985602176,0.001,1.2937397133220325
9,2.2961907115849582,2.2961907115849582,12.630024229396474,2.282553109255704,2.282553109255704,8.171643372738,0.001,1.3278216231953015
10,2.2890104521404613,2.2890104521404613,12.588545426455411,2.2559195431795986,2.2559195431795986,8.079826629523074,0.001,1.3954483476552095
11,2.285703997178511,2.285703997178511,12.577778339385986,2.2969603430141103,2.2969603430141103,8.235881639249397,0.001,1.4510395418513904
12,2.2814178174192254,2.2814178174192254,12.516307033192028,2.3482569600596572,2.3482569600596572,8.44420404145212,0.001,1.6072793917222457
13,2.271352708339691,2.271352708339691,12.559986192529852,2.2886066581263687,2.2886066581263687,8.157345974084103,0.001,1.6287701132622632
14,2.254804044420069,2.254804044420069,12.485532184080643,2.312290744348006,2.312290744348006,8.33361977519411,0.001,1.4121253176168962
15,2.24735283093019,2.24735283093019,12.444918797232887,2.3140403212922993,2.3140403212922993,8.277542836738355,0.001,1.533777653087269
16,2.2509037299589676,2.2509037299589676,12.423842958970504,2.337335293943232,2.337335293943232,8.447566379200328,0.001,1.8510674492879347
17,2.223298517140475,2.223298517140475,12.32361103404652,2.287142554918925,2.287142554918925,8.233164527199484,0.001,1.3312286328185687
18,2.2131455475633794,2.2131455475633794,12.292322306199507,2.318087025122209,2.318087025122209,8.464420463099625,0.001,1.5441547079519793
19,2.2054533915086227,2.2054533915086227,12.185505346818404,2.2996939312327993,2.2996939312327993,8.287329334201235,0.001,1.6301787094636397
20,2.1997113596309315,2.1997113596309315,12.14727690003135,2.318455053098274,2.318455053098274,8.374882885904023,0.001,1.6563266889615493
21,2.1879575675184078,2.1879575675184078,12.126782256906683,2.3392067750295005,2.3392067750295005,8.520858779098049,0.001,1.5149137605320324
22,2.179729315367612,2.179729315367612,12.035184170983054,2.3367471189209907,2.3367471189209907,8.699880802270139,0.001,1.5368666963143782
23,2.1706109892238272,2.1706109892238272,12.027803715792569,2.3871645457816846,2.3871645457816846,8.8146446834911,0.001,1.5641011113470251
24,2.1672018625519494,2.1672018625519494,11.968265715512363,2.3416774056174536,2.3416774056174536,8.685357093811035,0.001,1.7663666427135467
25,2.1620017636906015,2.1620017636906015,11.919341841610995,2.384175322272561,2.384175322272561,9.045206893574107,0.001,1.7979627246206458
26,2.15209922357039,2.15209922357039,11.850355776873501,2.3751699888344966,2.3751699888344966,9.140008521802498,0.001,1.7334421748464757
