epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.597940945625305,2.597940945625305,14.400383810563522,2.299756649768714,2.299756649768714,8.254393057389693,0.001,0.8717220791361548
2,2.475630381974307,2.475630381974307,13.22481423291293,2.2831486788663,2.2831486788663,8.150501077825373,0.001,0.9837837303226644
3,2.4140316367149355,2.4140316367149355,12.936329182711514,2.2639456445520576,2.2639456445520576,8.234342654546102,0.001,1.0462846539237283
4,2.3748206778006122,2.3748206778006122,12.823276086287065,2.2966445539936875,2.2966445539936875,8.199091188835375,0.001,1.0243427089669488
5,2.3401516762646764,2.3401516762646764,12.679767899079756,2.3044591744740806,2.3044591744740806,8.26813099601052,0.001,0.8927643345160918
6,2.3198650858618994,2.3198650858618994,12.646471847187389,2.2694981495539346,2.2694981495539346,8.229080929900661,0.001,0.9817597711628133
7,2.3020239277319474,2.3020239277319474,12.564334708994085,2.3219514218243686,2.3219514218243686,8.326513666095156,0.001,0.9514781713485718
8,2.300410782207142,2.300410782207142,12.617727496407248,2.3530132445422085,2.3530132445422085,8.432845115661621,0.001,1.1201081088998102
9,2.2820667147636415,2.2820667147636415,12.54663421457464,2.263880650202433,2.263880650202433,8.29177923636003,0.001,1.0343002999370747
10,2.280894380266016,2.280894380266016,12.527928889881482,2.2552308711138638,2.2552308711138638,8.277007456981774,0.001,1.1622810930013656
11,2.2744144927371632,2.2744144927371632,12.511387426202948,2.273124427506418,2.273124427506418,8.28594243887699,0.001,1.1293109788136049
12,2.2607572252100163,2.2607572252100163,12.440800866213712,2.2740731781179253,2.2740731781179253,8.300769032854022,0.001,1.0878947897390885
13,2.2486579808321867,2.2486579808321867,12.460578606345436,2.2667410084695527,2.2667410084695527,8.390246803110296,0.001,1.070687199993567
14,2.24027994112535,2.24027994112535,12.416285432468761,2.2872676885489263,2.2872676885489263,8.494713725465717,0.001,1.0877069324254989
15,2.235369162126021,2.235369162126021,12.381006639653986,2.274254701354287,2.274254701354287,8.389667799978545,0.001,1.1499904480847445
16,2.231364876573736,2.231364876573736,12.302106874639337,2.3249015952601577,2.3249015952601577,8.576591896288322,0.001,1.2930741608142853
17,2.2213486920703542,2.2213486920703542,12.262845251776955,2.262622406988433,2.262622406988433,8.430220950733531,0.001,1.174344151128422
18,2.213452458381653,2.213452458381653,12.262854498082941,2.285000129179521,2.285000129179521,8.503817413792465,0.001,1.235938887162642
19,2.20971127206629,2.20971127206629,12.15807579647411,2.2697837750116983,2.2697837750116983,8.40180922277046,0.001,1.3191092691638253
20,2.212532673098824,2.212532673098824,12.163932956348766,2.30834737329772,2.30834737329772,8.541916955601085,0.001,1.4467235402627425
21,2.1976453759453514,2.1976453759453514,12.118849476900968,2.314292477838921,2.314292477838921,8.523046522429496,0.001,1.32798905860294
22,2.184114168990742,2.184114168990742,12.007264575091275,2.2821876352483574,2.2821876352483574,8.373909545667244,0.001,1.1568989065560427
23,2.1742158098654314,2.1742158098654314,11.986734104156493,2.3170420581644233,2.3170420581644233,8.629407810442375,0.001,1.1952245034954765
24,2.1759685093706302,2.1759685093706302,11.891277855092829,2.330181623950149,2.330181623950149,8.71244408867576,0.001,1.387257307767868
25,2.169030138579282,2.169030138579282,11.811385089700872,2.3137170618230645,2.3137170618230645,8.727441202510487,0.001,1.4527459025382996
26,2.1535918463360177,2.1535918463360177,11.667134839838202,2.2849374214808145,2.2849374214808145,8.62097319689664,0.001,1.3044609747149727
