epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.5709774299101396,2.5709774299101396,14.07715609290383,2.309417381431117,2.309417381431117,8.368974721792972,0.001,0.9633166348392314
2,2.4569355032660742,2.4569355032660742,13.200203548778187,2.3124447519128974,2.3124447519128974,8.441531282482725,0.001,0.981908245249228
3,2.425592035597021,2.425592035597021,12.961716877330433,2.298395438627763,2.298395438627763,8.340123335520426,0.001,0.9737923836166208
4,2.376222470673648,2.376222470673648,12.816648552634499,2.302447886177988,2.302447886177988,8.373389554746224,0.001,0.9596490079706366
5,2.3403182474049653,2.3403182474049653,12.671233667026867,2.344488906137871,2.344488906137871,8.46124798601324,0.001,0.9897289910099724
6,2.3154014804146508,2.3154014804146508,12.63164323459972,2.2815880594831524,2.2815880594831524,8.31997569402059,0.001,1.0133019160140644
7,2.305759287964214,2.305759287964214,12.551540500467473,2.332169366605354,2.332169366605354,8.434554692470666,0.001,1.0639472351832824
8,2.2951446240598505,2.2951446240598505,12.571145075017755,2.381335070638946,2.381335070638946,8.533869801145611,0.001,1.1370209011164578
9,2.2794115857644512,2.2794115857644512,12.498642076145519,2.2794295874508945,2.2794295874508945,8.353240107045028,0.001,1.0712645070119338
10,2.2680547963489186,2.2680547963489186,12.459521406347102,2.274382551511129,2.274382551511129,8.292572447747895,0.001,1.0575700369748202
11,2.2678441535342824,2.2678441535342824,12.453075261549516,2.3102206244613184,2.3102206244613184,8.400569438934326,0.001,1.3251311803405934
12,2.2589194752953268,2.2589194752953268,12.389364337921142,2.3045298691951865,2.3045298691951865,8.291531960169474,0.001,1.1952721495519985
13,2.2459415912628176,2.2459415912628176,12.401813966577704,2.287701046828068,2.287701046828068,8.327679106683442,0.001,1.1450601501898332
14,2.22915253422477,2.22915253422477,12.310690294612538,2.310423970222473,2.310423970222473,8.449211084481442,0.001,1.0957691674882715
15,2.2273752971128986,2.2273752971128986,12.304474462162364,2.2531887328985967,2.2531887328985967,8.225371425802058,0.001,1.3085393065756017
16,2.2290302515029907,2.2290302515029907,12.260807882655751,2.3571994882641416,2.3571994882641416,8.651740312576294,0.001,1.4137971103191376
17,2.212962812727148,2.212962812727148,12.178419399261475,2.287032279101285,2.287032279101285,8.4055087927616,0.001,1.2574994948777285
18,2.197290067239241,2.197290067239241,12.145724448290737,2.328076861121438,2.328076861121438,8.498331344488895,0.001,1.2214487742293965
19,2.1932094996625726,2.1932094996625726,12.024784391576594,2.2828029683141997,2.2828029683141997,8.291214155428337,0.001,1.3745231801813298
20,2.1932889472354544,2.1932889472354544,11.910816630450162,2.315450682784572,2.315450682784572,8.511402462468002,0.001,1.404283863847906
21,2.1784228519959883,2.1784228519959883,11.852774901823564,2.3746908686377783,2.3746908686377783,8.784164284214828,0.001,1.4019288734956221
22,2.1730032053860753,2.1730032053860753,11.69427560892972,2.339302323081277,2.339302323081277,8.615770542260373,0.001,1.366641743074764
23,2.1583645018664273,2.1583645018664273,11.583390673724088,2.3913907607396445,2.3913907607396445,8.890044905922629,0.001,1.4479793559421192
24,2.1481873057105325,2.1481873057105325,11.490089204094627,2.3549936215082803,2.3549936215082803,8.724085880048348,0.001,1.4756861383264714
25,2.146088793060996,2.146088793060996,11.456329943917014,2.342289108218569,2.342289108218569,8.695703159679066,0.001,1.5417276945981113
26,2.134031535278667,2.134031535278667,11.408481038700451,2.3381764672019263,2.3381764672019263,8.668537082094135,0.001,1.4891266508535905
27,2.1301676717671483,2.1301676717671483,11.411168566617098,2.3614840326887188,2.3614840326887188,8.876186522570523,0.001,1.5262519522146745
28,2.1157577492974022,2.1157577492974022,11.347387040745128,2.3917228561459165,2.3917228561459165,8.95005801229766,0.001,1.522527740760283
29,2.103692918474024,2.103692918474024,11.291224865479903,2.3774437434745557,2.3774437434745557,8.940865690057928,0.001,1.4493075847625732
30,2.0969687711108813,2.0969687711108813,11.217267899079756,2.3930179819916235,2.3930179819916235,8.946573387492787,0.001,1.5664552022110332
31,2.090942959351973,2.090942959351973,11.236773347854614,2.4601054841821846,2.4601054841821846,9.20515152902314,0.001,1.5274937862699682
