run_id,dataset,model_des,hidden,temp_layers,spat_layers,batch_size,dropout,ffn_ratio,spatial_heads,num_params,best_epoch,valid_MAE,valid_RMSE,test_MAE,test_RMSE,test_MAPE,step_6_MAE,step_9_MAE,step_12_MAE,step_24_MAE
i7_no_physics_20260325-152148,1D-data,i7_no_physics,32,3,2,8,0.3,1,8,349185,19,2.2648158073425293,8.826192855834961,2.267329216003418,10.68572998046875,0.02902398817241192,2.075083017349243,2.2188358306884766,2.2907469272613525,2.6466317176818848
i6_r20_20260325-102300,1D-data,i6_r20,32,3,2,8,0.3,1,8,349185,19,2.2632968425750732,8.787510871887207,2.267364025115967,10.702136993408203,0.02901536412537098,2.0765655040740967,2.2195370197296143,2.2892324924468994,2.647545337677002
i5_full_hw_20260324-235237,1D-data,i5_full_hw,32,3,2,8,0.3,1,8,348545,10,2.22571063041687,8.650630950927734,2.2890899181365967,10.691359519958496,0.029890727251768112,2.056117057800293,2.223083734512329,2.3263120651245117,2.710418701171875
i1_log_20260324-155705,1D-data,i1_log,32,3,2,8,0.1,4,4,392320,3,2.24352765083313,8.874116897583008,2.289269208908081,10.540606498718262,0.02991006337106228,2.0677378177642822,2.198223352432251,2.301846742630005,2.7222959995269775
i2_cosine_rain_20260324-163143,1D-data,i2_cosine_rain,32,3,2,8,0.1,4,4,393153,13,2.2400617599487305,8.792759895324707,2.29021954536438,10.606027603149414,0.029565967619419098,2.069458246231079,2.227966785430908,2.341090202331543,2.6834137439727783
i5_full_20260324-231831,1D-data,i5_full,32,3,2,8,0.3,1,8,348545,10,2.2478294372558594,8.747615814208984,2.2914011478424072,10.690302848815918,0.02988368831574917,2.0698370933532715,2.239760398864746,2.3488357067108154,2.703772783279419
i4_lr3e4_rain_20260324-183000,1D-data,i4_lr3e4_rain,32,3,2,8,0.1,4,4,393153,9,2.2463924884796143,8.797786712646484,2.2939982414245605,10.601323127746582,0.02994689904153347,2.079777717590332,2.2281692028045654,2.32316255569458,2.698554515838623
i6_r10_20260325-092451,1D-data,i6_r10,32,3,2,8,0.3,1,8,348865,5,2.2629194259643555,8.82004165649414,2.2968862056732178,10.603859901428223,0.029994091019034386,2.0914885997772217,2.2304985523223877,2.335324287414551,2.7249677181243896
i8_residual_20260325-235202,1D-data,i8_residual,32,3,2,8,0.3,1,8,350010,14,2.2428324222564697,8.813593864440918,2.297373056411743,10.673469543457031,0.029845381155610085,2.077277898788452,2.2307093143463135,2.348440647125244,2.7347347736358643
i7_minimal_20260325-180705,1D-data,i7_minimal,32,3,2,8,0.3,1,8,304513,9,2.2515170574188232,8.869233131408691,2.2988998889923096,10.614239692687988,0.029940392822027206,2.0931475162506104,2.2204580307006836,2.350269317626953,2.718658208847046
